"","feature_name","p_value","is_cat"
"136","z_iqsource","8.7158641784819e-17","TRUE"
"137","z_iqsource","3.55761485575643e-137","TRUE"
"138","z_iqsource","1.12183011938092e-11","TRUE"
"139","z_iqsource","5.59293213496893e-13","TRUE"
"140","z_spwiiq_f","0.0389150530662975","FALSE"
"141","z_sphnrs_f","0.0574858108065477","FALSE"
"142","z_spwicr_f","0.340962216136988","FALSE"
"143","z_spncr_f","0.2307128148305","FALSE"
"144","z_spwiiq_p","0.0309394801028332","FALSE"
"145","z_sphnrs_p","0.0432250657465412","FALSE"
"146","z_spwicr_p","0.0437520388407498","FALSE"
"147","z_spncr_p","0.0497807817228376","FALSE"
"148","z_spwiiq_j","0.581138174749163","FALSE"
"149","z_sphnrs_j","0.880722052799486","FALSE"
"150","z_spwicr_j","0.43783870212459","FALSE"
"151","z_spncr_j","0.54776503091217","FALSE"
"152","z_spwiiq_s","0.000691320258804258","FALSE"
"153","z_sphnrs_s","0.00136187148049302","FALSE"
"154","z_spwicr_s","0.00250073907747542","FALSE"
"155","z_spncr_s","0.00139578001114113","FALSE"
"156","z_fbook_flag","0.294399715518991","TRUE"
"157","z_pbook_flag","0.435675706508112","TRUE"
"158","z_jbook_flag","0.296518481499526","TRUE"
"159","z_sbook_flag","0.0242667182382808","TRUE"
"160","z_rr020rei1","1.01632828363391e-05","TRUE"
"161","z_rr020rei2","2.15838101516776e-05","TRUE"
"162","z_rr020rei3","1.04201557502744e-05","TRUE"
"163","z_rr020rei4","1.00858943577942e-05","TRUE"
"164","z_rr020rei5","1.24258955231183e-05","TRUE"
"165","z_rr021rei1","4.28825252999296e-26","FALSE"
"166","z_rr021rei2","7.7032440697593e-27","FALSE"
"167","z_rr021rei3","1.29869183713463e-26","FALSE"
"168","z_rr021rei4","4.4598813001611e-26","FALSE"
"169","z_rr021rei5","5.86825501227315e-27","FALSE"
"170","z_rr022rei1","1.14903218226258e-07","FALSE"
"171","z_rr022rei2","9.3492297588751e-08","FALSE"
"172","z_rr022rei3","6.75394619184878e-08","FALSE"
"173","z_rr022rei4","1.43679517126153e-07","FALSE"
"174","z_rr022rei5","8.73433916241851e-08","FALSE"
"175","z_rr024rei1","2.46106778401696e-11","TRUE"
"176","z_rr024rei2","2.5693815499891e-11","TRUE"
"177","z_rr024rei3","1.10793120693421e-11","TRUE"
"178","z_rr024rei4","7.37595608711264e-12","TRUE"
"179","z_rr024rei5","4.04150043245993e-11","TRUE"
"180","z_rr025rei1","2.11350079836219e-06","FALSE"
"181","z_rr025rei2","2.13786401221666e-06","FALSE"
"182","z_rr025rei3","1.26736913436637e-08","FALSE"
"183","z_rr025rei4","1.64011351389593e-06","FALSE"
"184","z_rr025rei5","3.81456298509222e-07","FALSE"
"185","z_rr026rei1","0.0682640136923439","FALSE"
"186","z_rr026rei2","0.0010357855142167","FALSE"
"187","z_rr026rei3","0.00102152541133428","FALSE"
"188","z_rr026rei4","0.00315771446536028","FALSE"
"189","z_rr026rei5","0.012137064700669","FALSE"
"190","z_rr028rei1","0.00201815400270847","TRUE"
"191","z_rr028rei2","0.00208578949504629","TRUE"
"192","z_rr028rei3","0.00191226284759316","TRUE"
"193","z_rr028rei4","0.00193288872861184","TRUE"
"194","z_rr028rei5","0.00165680986990368","TRUE"
"195","z_rr029rei1","0.0108747638445835","FALSE"
"196","z_rr029rei2","0.0017870979076425","FALSE"
"197","z_rr029rei3","0.0338294485810677","FALSE"
"198","z_rr029rei4","0.650426699946157","FALSE"
"199","z_rr029rei5","0.373993329229412","FALSE"
"200","z_rr030rei1","0.0603508566583534","FALSE"
"201","z_rr030rei2","0.0111009878347348","FALSE"
"202","z_rr030rei3","0.0116767631491408","FALSE"
"203","z_rr030rei4","0.00691402719745332","FALSE"
"204","z_rr030rei5","0.0313441607611832","FALSE"
"205","z_rr032rei1","4.25456414115691e-06","TRUE"
"206","z_rr032rei2","3.88252045465025e-06","TRUE"
"207","z_rr032rei3","5.70935512582574e-06","TRUE"
"208","z_rr032rei4","4.76553112057311e-06","TRUE"
"209","z_rr032rei5","1.70860927289681e-05","TRUE"
"210","z_rr033rei1","9.22234991807543e-08","FALSE"
"211","z_rr033rei2","3.12106724081043e-07","FALSE"
"212","z_rr033rei3","2.05466126697728e-07","FALSE"
"213","z_rr033rei4","3.11152588998547e-08","FALSE"
"214","z_rr033rei5","2.39128269726125e-08","FALSE"
"215","z_rr034rei1","0.634520404392964","FALSE"
"216","z_rr034rei2","0.736151304353786","FALSE"
"217","z_rr034rei3","0.517376336622448","FALSE"
"218","z_rr034rei4","0.734357977904723","FALSE"
"219","z_rr034rei5","0.665571983709347","FALSE"
"220","z_rr036rei1","0.0675570840241937","TRUE"
"221","z_rr036rei2","0.0929901793950272","TRUE"
"222","z_rr036rei3","0.0505197421621916","TRUE"
"223","z_rr036rei4","0.042182509180005","TRUE"
"224","z_rr036rei5","0.0567994016658489","TRUE"
"225","z_rr037rei1","0.450999214444853","FALSE"
"226","z_rr037rei2","0.383933783707969","FALSE"
"227","z_rr037rei3","0.623615326997543","FALSE"
"228","z_rr037rei4","0.621544102851647","FALSE"
"229","z_rr037rei5","0.394145769066859","FALSE"
"230","z_rr040rei1","8.65110831560828e-09","FALSE"
"231","z_rr040rei2","1.04645809166503e-08","FALSE"
"232","z_rr040rei3","2.06017350180054e-09","FALSE"
"233","z_rr040rei4","7.29255617177355e-09","FALSE"
"234","z_rr040rei5","2.94805106976438e-08","FALSE"
"235","z_rr041rei1","0.00137768723848722","FALSE"
"236","z_rr041rei2","0.00133997571616548","FALSE"
"237","z_rr041rei3","0.00135127847051873","FALSE"
"238","z_rr041rei4","0.00135063816195086","FALSE"
"239","z_rr041rei5","0.00136987211188882","FALSE"
"240","z_rp001rei1","4.61383148755599e-05","FALSE"
"241","z_rp001rei2","0.000131811798561731","FALSE"
"242","z_rp001rei3","5.81060828880228e-05","FALSE"
"243","z_rp001rei4","2.7141770826016e-05","FALSE"
"244","z_rp001rei5","2.84131447737805e-05","FALSE"
"245","z_rp002rei1","0.563917265272565","TRUE"
"246","z_rp002rei2","0.516540602561955","TRUE"
"247","z_rp002rei3","0.580133603991704","TRUE"
"248","z_rp002rei4","0.706051842504097","TRUE"
"249","z_rp002rei5","0.71652184169942","TRUE"
"250","z_rp003redi1","0.130884675261784","FALSE"
"251","z_rp003redi2","0.102682936234081","FALSE"
"252","z_rp003redi3","0.111891282523017","FALSE"
"253","z_rp003redi4","0.120746773593037","FALSE"
"254","z_rp003redi5","0.292395202105359","FALSE"
"255","z_rp016spi1","1.66431378263688e-15","FALSE"
"256","z_rp016spi2","7.83330522757484e-17","FALSE"
"257","z_rp016spi3","9.67976096203555e-15","FALSE"
"258","z_rp016spi4","1.43090982045161e-14","FALSE"
"259","z_rp016spi5","1.97317800087456e-15","FALSE"
"260","z_rp017spi1","2.30418745586818e-24","TRUE"
"261","z_rp017spi2","3.50185947492283e-24","TRUE"
"262","z_rp017spi3","1.14675844932156e-23","TRUE"
"263","z_rp017spi4","3.59250662300559e-24","TRUE"
"264","z_rp017spi5","5.13590057895888e-24","TRUE"
"265","z_rp018spdi1","0.0269238513129392","FALSE"
"266","z_rp018spdi2","0.00544524803383813","FALSE"
"267","z_rp018spdi3","0.00134396878963765","FALSE"
"268","z_rp018spdi4","0.000546422146541207","FALSE"
"269","z_rp018spdi5","0.00125978055429559","FALSE"
"270","z_gp201rei1","0.215607858127127","TRUE"
"271","z_gp201rei2","0.211501819297708","TRUE"
"272","z_gp201rei3","0.215347965267038","TRUE"
"273","z_gp201rei4","0.20630703386175","TRUE"
"274","z_gp201rei5","0.213598346480105","TRUE"
"275","z_gp202rei1","0.0040308540805497","FALSE"
"276","z_gp202rei2","0.00527397390615694","FALSE"
"277","z_gp202rei3","0.00729014785033998","FALSE"
"278","z_gp202rei4","0.00696921244221426","FALSE"
"279","z_gp202rei5","0.00441544496103371","FALSE"
"280","z_gp201spi1","0.00799960294117485","TRUE"
"281","z_gp201spi2","0.00680876778204288","TRUE"
"282","z_gp201spi3","0.00841134339526352","TRUE"
"283","z_gp201spi4","0.00657410223740029","TRUE"
"284","z_gp201spi5","0.00699952756333456","TRUE"
"285","z_gp202spi1","0.000376027417685954","FALSE"
"286","z_gp202spi2","0.000519381941483057","FALSE"
"287","z_gp202spi3","0.000150624428471263","FALSE"
"288","z_gp202spi4","0.000247214913923878","FALSE"
"289","z_gp202spi5","0.000149618779846751","FALSE"
"290","z_gp203rei1","0.13098780280892","TRUE"
"291","z_gp203rei2","0.127370073345297","TRUE"
"292","z_gp203rei3","0.129328394233657","TRUE"
"293","z_gp203rei4","0.125538423214894","TRUE"
"294","z_gp203rei5","0.127947697822414","TRUE"
"295","z_gp204rei1","0.24900665564556","FALSE"
"296","z_gp204rei2","0.263105799709283","FALSE"
"297","z_gp204rei3","0.103803791633339","FALSE"
"298","z_gp204rei4","0.283528669068603","FALSE"
"299","z_gp204rei5","0.143526308746191","FALSE"
"300","z_gp203spi1","0.0105617231439352","TRUE"
"301","z_gp203spi2","0.010143801661173","TRUE"
"302","z_gp203spi3","0.011062280533872","TRUE"
"303","z_gp203spi4","0.0105667524696373","TRUE"
"304","z_gp203spi5","0.010723278238929","TRUE"
"305","z_gp204spi1","0.0593251087948914","FALSE"
"306","z_gp204spi2","0.151572747307688","FALSE"
"307","z_gp204spi3","0.210990386929374","FALSE"
"308","z_gp204spi4","0.117902924162884","FALSE"
"309","z_gp204spi5","0.0459370352820589","FALSE"
"310","z_gp205rei1","0.655886456331291","TRUE"
"311","z_gp205rei2","0.771256139125939","TRUE"
"312","z_gp205rei3","0.706106136402837","TRUE"
"313","z_gp205rei4","0.671497587016094","TRUE"
"314","z_gp205rei5","0.704638698914503","TRUE"
"315","z_gp207rei1","0.0401274064364612","FALSE"
"316","z_gp207rei2","0.0607268838633494","FALSE"
"317","z_gp207rei3","0.0574855431280233","FALSE"
"318","z_gp207rei4","0.0387690544068359","FALSE"
"319","z_gp207rei5","0.0583930302591596","FALSE"
"320","z_gp208reci1","0.0643932180330737","FALSE"
"321","z_gp208reci2","0.0987109645805193","FALSE"
"322","z_gp208reci3","0.0895719750311648","FALSE"
"323","z_gp208reci4","0.061051909021941","FALSE"
"324","z_gp208reci5","0.0937168288521679","FALSE"
"325","z_gp205spi1","2.74570547669304e-07","TRUE"
"326","z_gp205spi2","2.71307996597436e-07","TRUE"
"327","z_gp205spi3","2.98878152922319e-07","TRUE"
"328","z_gp205spi4","3.51612097181155e-07","TRUE"
"329","z_gp205spi5","2.44053104237868e-07","TRUE"
"330","z_gp207spi1","6.57695342462852e-13","FALSE"
"331","z_gp207spi2","3.48929709350859e-13","FALSE"
"332","z_gp207spi3","1.78506995116131e-13","FALSE"
"333","z_gp207spi4","8.88461814220807e-14","FALSE"
"334","z_gp207spi5","3.20240356582389e-13","FALSE"
"335","z_gp208spci1","5.07513974485527e-13","FALSE"
"336","z_gp208spci2","2.85061061475138e-13","FALSE"
"337","z_gp208spci3","1.43639151976665e-13","FALSE"
"338","z_gp208spci4","7.50356213988344e-14","FALSE"
"339","z_gp208spci5","2.68551375082577e-13","FALSE"
"340","z_gp209rei1","3.47117803034648e-12","TRUE"
"341","z_gp209rei2","3.5800582471305e-12","TRUE"
"342","z_gp209rei3","2.83901588224649e-12","TRUE"
"343","z_gp209rei4","3.13106522755436e-12","TRUE"
"344","z_gp209rei5","3.33328223983529e-12","TRUE"
"345","z_gp211rei1","0.00028306696087515","FALSE"
"346","z_gp211rei2","0.000656891714862616","FALSE"
"347","z_gp211rei3","0.00227897317360204","FALSE"
"348","z_gp211rei4","0.000191616608235759","FALSE"
"349","z_gp211rei5","0.000617257407151346","FALSE"
"350","z_gp209spi1","4.1584452653446e-15","TRUE"
"351","z_gp209spi2","4.24898743899755e-15","TRUE"
"352","z_gp209spi3","5.38377049602008e-15","TRUE"
"353","z_gp209spi4","5.58078756630972e-15","TRUE"
"354","z_gp209spi5","4.90111785303363e-15","TRUE"
"355","z_gp211spi1","1.01494369636734e-11","FALSE"
"356","z_gp211spi2","2.17285223311722e-11","FALSE"
"357","z_gp211spi3","1.44231073412964e-10","FALSE"
"358","z_gp211spi4","4.51427028698595e-10","FALSE"
"359","z_gp211spi5","1.89344230762367e-11","FALSE"
"360","z_gp212rei1","0.00547485959782116","TRUE"
"361","z_gp212rei2","0.00520226149111963","TRUE"
"362","z_gp212rei3","0.00421692991321057","TRUE"
"363","z_gp212rei4","0.00302014157078544","TRUE"
"364","z_gp212rei5","0.00527615319706377","TRUE"
"365","z_gp213rei1","0.0345784386487295","FALSE"
"366","z_gp213rei2","0.0274483276843902","FALSE"
"367","z_gp213rei3","0.0232852099938768","FALSE"
"368","z_gp213rei4","0.027163379921131","FALSE"
"369","z_gp213rei5","0.0135469983576059","FALSE"
"370","z_gp212spi1","4.69884990437549e-10","TRUE"
"371","z_gp212spi2","4.78486290678365e-10","TRUE"
"372","z_gp212spi3","4.66389493500851e-10","TRUE"
"373","z_gp212spi4","4.6497573458172e-10","TRUE"
"374","z_gp212spi5","4.80605542402586e-10","TRUE"
"375","z_gp213spi1","0.794798814321414","FALSE"
"376","z_gp213spi2","0.724863808688536","FALSE"
"377","z_gp213spi3","0.618925177995315","FALSE"
"378","z_gp213spi4","0.421620042962409","FALSE"
"379","z_gp213spi5","0.698946463244934","FALSE"
"380","z_gp214rpi1","3.9529438180962e-19","TRUE"
"381","z_gp214rpi2","4.7552093224661e-20","TRUE"
"382","z_gp214rpi3","7.56969012786855e-20","TRUE"
"383","z_gp214rpi4","5.05307434518989e-20","TRUE"
"384","z_gp214rpi5","4.62607457961301e-19","TRUE"
"385","z_gp215rpi1","7.50043357958152e-05","FALSE"
"386","z_gp215rpi2","0.000129969697398969","FALSE"
"387","z_gp215rpi3","2.30610020543144e-05","FALSE"
"388","z_gp215rpi4","0.000298213408262124","FALSE"
"389","z_gp215rpi5","1.00122349970826e-05","FALSE"
"390","z_gp216rpi1","0.00782259847833173","TRUE"
"391","z_gp216rpi2","0.0089901994662874","TRUE"
"392","z_gp216rpi3","0.0121561527587279","TRUE"
"393","z_gp216rpi4","0.0119055186328926","TRUE"
"394","z_gp216rpi5","0.0119545743592469","TRUE"
"395","z_gp219rpi1","0.0421868332043901","FALSE"
"396","z_gp219rpi2","0.0735397227250524","FALSE"
"397","z_gp219rpi3","0.0492411815062145","FALSE"
"398","z_gp219rpi4","0.0677437881978702","FALSE"
"399","z_gp219rpi5","0.0482209452803157","FALSE"
"400","z_gp220rpi1","0.000487284482575337","TRUE"
"401","z_gp220rpi2","0.000509394366727782","TRUE"
"402","z_gp220rpi3","0.000488326683584276","TRUE"
"403","z_gp220rpi4","0.000465190774732321","TRUE"
"404","z_gp220rpi5","0.000495367519267552","TRUE"
"405","z_gp223rpi1","0.578097992325476","FALSE"
"406","z_gp223rpi2","0.974894035169149","FALSE"
"407","z_gp223rpi3","0.732561482804155","FALSE"
"408","z_gp223rpi4","0.602602084661199","FALSE"
"409","z_gp223rpi5","0.516712886065187","FALSE"
"410","z_gp250reci1","2.65824869795649e-06","FALSE"
"411","z_gp250reci2","3.2167398787313e-06","FALSE"
"412","z_gp250reci3","8.92830006156936e-06","FALSE"
"413","z_gp250reci4","1.17488322197516e-05","FALSE"
"414","z_gp250reci5","3.82632971545023e-06","FALSE"
"415","z_gp260heci1","5.1950782513152e-13","FALSE"
"416","z_gp260heci2","8.86933307167968e-13","FALSE"
"417","z_gp260heci3","4.43082450992761e-12","FALSE"
"418","z_gp260heci4","4.51517492438908e-12","FALSE"
"419","z_gp260heci5","5.35133812100924e-13","FALSE"
"420","z_gr020rpi1","0.0631998377112228","TRUE"
"421","z_gr020rpi2","0.0642048046926569","TRUE"
"422","z_gr020rpi3","0.0640552975683304","TRUE"
"423","z_gr020rpi4","0.0638739054258243","TRUE"
"424","z_gr020rpi5","0.061516211156855","TRUE"
"425","z_gr021rpi1","4.57025110090214e-18","FALSE"
"426","z_gr021rpi2","7.71221283921492e-18","FALSE"
"427","z_gr021rpi3","3.89749171035013e-18","FALSE"
"428","z_gr021rpi4","3.30596953083456e-18","FALSE"
"429","z_gr021rpi5","2.53135477410435e-17","FALSE"
"430","z_gr022rpi1","0.459547031720056","FALSE"
